ratio,p,C,vtr_acc,te_acc,
0.8,0,0.01,90.625,91.357
0.8,0,0.1,90.625,91.357
0.8,0,1,90.625,91.286
0.8,0,10,90.536,91.214
0.8,0,100,90.893,91.5
0.8,0.25,0.01,89.375,89.286
0.8,0.25,0.1,89.018,89
0.8,0.25,1,90.804,91.5
0.8,0.25,10,90.804,91.643
0.8,0.25,100,90.536,91.786
0.8,0.5,0.01,90,90
0.8,0.5,0.1,90.982,91.643
0.8,0.5,1,90.804,91.714
0.8,0.5,10,90.536,91.857
0.8,0.5,100,90.446,92
0.8,0.75,0.01,91.071,91.643
0.8,0.75,0.1,90.714,91.786
0.8,0.75,1,90.536,91.929
0.8,0.75,10,90.714,92.071
0.8,0.75,100,86.607,86
0.8,1,0.01,90.625,91.786
0.8,1,0.1,90.625,92.143
0.8,1,1,86.696,87
0.8,1,10,90.446,92.143
0.8,1,100,90.446,92.143
0.4,0,0.01,91.25,90.643
0.4,0,0.1,91.25,90.643
0.4,0,1,91.25,90.643
0.4,0,10,89.821,89.881
0.4,0,100,91.429,91.19
0.4,0.25,0.01,86.964,87.5
0.4,0.25,0.1,86.25,87.429
0.4,0.25,1,90.179,90.262
0.4,0.25,10,92.5,91.524
0.4,0.25,100,91.964,91.619
0.4,0.5,0.01,85.357,87.214
0.4,0.5,0.1,90.893,90.833
0.4,0.5,1,92.5,91.5
0.4,0.5,10,92.321,91.571
0.4,0.5,100,92.143,91.524
0.4,0.75,0.01,91.607,91.19
0.4,0.75,0.1,92.143,91.5
0.4,0.75,1,92.143,91.762
0.4,0.75,10,91.786,91.214
0.4,0.75,100,90.357,88.643
0.4,1,0.01,91.964,91.619
0.4,1,0.1,92.321,91.286
0.4,1,1,91.25,90.095
0.4,1,10,91.25,90.095
0.4,1,100,91.25,90.095
0.2,0,0.01,90.714,91.018
0.2,0,0.1,90.714,91.018
0.2,0,1,90.714,91.018
0.2,0,10,91.071,90.625
0.2,0,100,91.071,91.411
0.2,0.25,0.01,87.857,88.643
0.2,0.25,0.1,87.857,88.643
0.2,0.25,1,89.643,90.339
0.2,0.25,10,91.071,91.482
0.2,0.25,100,91.429,91.714
0.2,0.5,0.01,85.714,83.875
0.2,0.5,0.1,90.357,90.911
0.2,0.5,1,91.429,91.679
0.2,0.5,10,91.429,91.643
0.2,0.5,100,91.786,91.536
0.2,0.75,0.01,90.714,91.232
0.2,0.75,0.1,91.429,91.643
0.2,0.75,1,91.786,91.571
0.2,0.75,10,91.786,91.482
0.2,0.75,100,87.857,88.143
0.2,1,0.01,91.429,91.768
0.2,1,0.1,91.429,91.393
0.2,1,1,86.071,83.661
0.2,1,10,88.571,90.196
0.2,1,100,88.571,90.196
0.1,0,0.01,89.286,90.841
0.1,0,0.1,89.286,90.841
0.1,0,1,89.286,90.841
0.1,0,10,88.571,90.873
0.1,0,100,89.286,90.683
0.1,0.25,0.01,89.286,91
0.1,0.25,0.1,89.286,91
0.1,0.25,1,87.857,90.54
0.1,0.25,10,89.286,90.921
0.1,0.25,100,90.714,91.238
0.1,0.5,0.01,90.714,90.714
0.1,0.5,0.1,87.143,90.508
0.1,0.5,1,90,91.048
0.1,0.5,10,90,91.127
0.1,0.5,100,90,91
0.1,0.75,0.01,89.286,90.825
0.1,0.75,0.1,91.429,91.238
0.1,0.75,1,90,91.127
0.1,0.75,10,91.429,91.095
0.1,0.75,100,88.571,83.127
0.1,1,0.01,90,91.111
0.1,1,0.1,90,90.952
0.1,1,1,91.429,90.476
0.1,1,10,91.429,90.476
0.1,1,100,91.429,90.476
0.05,0,0.01,90,90.917
0.05,0,0.1,90,90.917
0.05,0,1,90,90.917
0.05,0,10,90,90.917
0.05,0,100,91.429,89.744
0.05,0.25,0.01,90,90.496
0.05,0.25,0.1,90,90.496
0.05,0.25,1,92.857,90.301
0.05,0.25,10,91.429,90.586
0.05,0.25,100,88.571,91.068
0.05,0.5,0.01,87.143,83.444
0.05,0.5,0.1,92.857,88.03
0.05,0.5,1,88.571,90.632
0.05,0.5,10,88.571,91.188
0.05,0.5,100,85.714,91.128
0.05,0.75,0.01,91.429,88.752
0.05,0.75,0.1,87.143,91.023
0.05,0.75,1,85.714,90.992
0.05,0.75,10,90,90.105
0.05,0.75,100,74.286,74.947
0.05,1,0.01,90,90.857
0.05,1,0.1,87.143,91.023
0.05,1,1,48.571,53.444
0.05,1,10,48.571,53.444
0.05,1,100,48.571,53.444
0.01,0,0.01,92.857,86.926
0.01,0,0.1,92.857,86.926
0.01,0,1,92.857,86.926
0.01,0,10,92.857,86.926
0.01,0,100,92.857,88.211
0.01,0.25,0.01,92.857,87.893
0.01,0.25,0.1,92.857,87.893
0.01,0.25,1,92.857,87.893
0.01,0.25,10,92.857,87.821
0.01,0.25,100,100,88.672
0.01,0.5,0.01,92.857,86.349
0.01,0.5,0.1,92.857,86.349
0.01,0.5,1,100,88.831
0.01,0.5,10,100,88.11
0.01,0.5,100,92.857,84.473
0.01,0.75,0.01,92.857,87.908
0.01,0.75,0.1,100,87.951
0.01,0.75,1,100,87.778
0.01,0.75,10,92.857,84.3
0.01,0.75,100,78.571,83.362
0.01,1,0.01,100,88.543
0.01,1,0.1,92.857,87.388
0.01,1,1,78.571,84.156
0.01,1,10,78.571,84.156
0.01,1,100,78.571,84.156
