ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.8,100,0.1,0.1,96.825,78.406,79.35,1,0.80031,0.8085
0.8,100,0.1,1,96.825,78.406,79.35,1,0.49812,0.51125
0.8,100,0.1,10,96.825,78.406,79.35,1,0.50281,0.519
0.8,100,0.1,100,96.825,78.406,79.35,1,0.50656,0.4935
0.8,100,0.1,1000,96.825,78.406,79.35,1,0.71406,0.71825
0.8,100,1,0.1,96.825,78.406,79.35,1,0.5275,0.54525
0.8,100,1,1,96.825,78.406,79.35,1,0.68344,0.68075
0.8,100,1,10,96.825,78.406,79.35,1,0.49312,0.5065
0.8,100,1,100,96.825,78.406,79.35,1,0.50656,0.493
0.8,100,1,1000,96.825,78.406,79.35,1,0.49219,0.5055
0.8,100,10,0.1,96.825,78.406,79.35,1,0.76844,0.785
0.8,100,10,1,96.825,78.406,79.35,1,0.5425,0.53175
0.8,100,10,10,96.825,78.406,79.35,1,0.68875,0.69275
0.8,100,10,100,96.825,78.406,79.35,1,0.77656,0.785
0.8,100,10,1000,96.825,78.406,79.35,0.5844,0.50656,0.49275
0.8,100,100,0.1,96.825,78.406,79.35,1,0.77812,0.795
0.8,100,100,1,96.825,78.406,79.35,1,0.79031,0.8025
0.8,100,100,10,96.825,78.406,79.35,1,0.80188,0.81225
0.8,100,100,100,96.825,78.406,79.35,0.81994,0.75875,0.76675
0.8,100,100,1000,96.825,78.406,79.35,0.50047,0.50656,0.493
0.8,100,1000,0.1,96.825,78.406,79.35,0.97593,0.73313,0.72975
0.8,100,1000,1,96.825,78.406,79.35,0.96335,0.71344,0.72175
0.8,100,1000,10,96.825,78.406,79.35,0.96186,0.73594,0.7545
0.8,100,1000,100,96.825,78.406,79.35,0.77688,0.73125,0.73125
0.8,100,1000,1000,96.825,78.406,79.35,0.67193,0.67188,0.668
0.8,1000,0.1,0.1,96.825,78.406,79.35,1,0.82,0.82375
0.8,1000,0.1,1,96.825,78.406,79.35,1,0.70813,0.70875
0.8,1000,0.1,10,96.825,78.406,79.35,1,0.50687,0.49375
0.8,1000,0.1,100,96.825,78.406,79.35,1,0.50656,0.49325
0.8,1000,0.1,1000,96.825,78.406,79.35,1,0.50656,0.493
0.8,1000,1,0.1,96.825,78.406,79.35,1,0.64812,0.657
0.8,1000,1,1,96.825,78.406,79.35,1,0.76469,0.77575
0.8,1000,1,10,96.825,78.406,79.35,1,0.74062,0.74325
0.8,1000,1,100,96.825,78.406,79.35,1,0.4925,0.5065
0.8,1000,1,1000,96.825,78.406,79.35,1,0.50625,0.493
0.8,1000,10,0.1,96.825,78.406,79.35,1,0.77563,0.79025
0.8,1000,10,1,96.825,78.406,79.35,1,0.79438,0.81225
0.8,1000,10,10,96.825,78.406,79.35,0.83534,0.7625,0.76425
0.8,1000,10,100,96.825,78.406,79.35,0.50047,0.50656,0.493
0.8,1000,10,1000,96.825,78.406,79.35,0.50047,0.50656,0.493
0.8,1000,100,0.1,96.825,78.406,79.35,1,0.74969,0.7665
0.8,1000,100,1,96.825,78.406,79.35,1,0.73813,0.748
0.8,1000,100,10,96.825,78.406,79.35,0.77766,0.74281,0.752
0.8,1000,100,100,96.825,78.406,79.35,0.73578,0.73062,0.72975
0.8,1000,100,1000,96.825,78.406,79.35,0.50047,0.50656,0.493
0.8,1000,1000,0.1,96.825,78.406,79.35,0.9088,0.72813,0.72425
0.8,1000,1000,1,96.825,78.406,79.35,0.84511,0.73094,0.72525
0.8,1000,1000,10,96.825,78.406,79.35,0.77391,0.73313,0.744
0.8,1000,1000,100,96.825,78.406,79.35,0.68545,0.68375,0.677
0.8,1000,1000,1000,96.825,78.406,79.35,0.76329,0.74875,0.7525
0.4,0.1,0.1,0.1,95.266,76.688,79.13,1,0.80063,0.79072
0.4,0.1,0.1,1,95.266,76.688,79.13,1,0.52125,0.50092
0.4,0.1,0.1,10,95.266,76.688,79.13,1,0.68063,0.68928
0.4,0.1,0.1,100,95.266,76.688,79.13,1,0.70125,0.72037
0.4,0.1,0.1,1000,95.266,76.688,79.13,1,0.70125,0.72495
0.4,0.1,1,0.1,95.266,76.688,79.13,1,0.79625,0.78238
0.4,0.1,1,1,95.266,76.688,79.13,1,0.65875,0.67545
0.4,0.1,1,10,95.266,76.688,79.13,1,0.52063,0.50008
0.4,0.1,1,100,95.266,76.688,79.13,1,0.4925,0.51509
0.4,0.1,1,1000,95.266,76.688,79.13,1,0.70312,0.72854
0.4,0.1,10,0.1,95.266,76.688,79.13,1,0.70063,0.69353
0.4,0.1,10,1,95.266,76.688,79.13,1,0.7475,0.75654
0.4,0.1,10,10,95.266,76.688,79.13,1,0.54375,0.56234
0.4,0.1,10,100,95.266,76.688,79.13,1,0.48125,0.49892
0.4,0.1,10,1000,95.266,76.688,79.13,1,0.675,0.68453
0.4,0.1,100,0.1,95.266,76.688,79.13,1,0.70937,0.70503
0.4,0.1,100,1,95.266,76.688,79.13,1,0.69063,0.7012
0.4,0.1,100,10,95.266,76.688,79.13,1,0.6975,0.68103
