ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.4,1,1000,10,97.673,90.335,90.268,0.99926,0.83201,0.83033
0.4,1,1000,100,97.673,90.335,90.268,0.9944,0.86922,0.86884
0.4,1,1000,1000,97.673,90.335,90.268,0.98817,0.86883,0.8695
0.4,10,1,1,97.673,90.335,90.268,1,0.88752,0.88726
0.4,10,1,10,97.673,90.335,90.268,1,0.83088,0.82925
0.4,10,1,100,97.673,90.335,90.268,1,0.83769,0.83744
0.4,10,1,1000,97.673,90.335,90.268,1,0.92356,0.923
0.4,10,10,1,97.673,90.335,90.268,1,0.88963,0.88718
0.4,10,10,10,97.673,90.335,90.268,1,0.87438,0.87396
0.4,10,10,100,97.673,90.335,90.268,1,0.84881,0.84756
0.4,10,10,1000,97.673,90.335,90.268,1,0.90792,0.90793
0.4,10,100,1,97.673,90.335,90.268,1,0.86463,0.86424
0.4,10,100,10,97.673,90.335,90.268,1,0.75679,0.75663
0.4,10,100,100,97.673,90.335,90.268,0.99999,0.82554,0.82531
0.4,10,100,1000,97.673,90.335,90.268,1,0.89739,0.89639
0.4,10,1000,1,97.673,90.335,90.268,1,0.55613,0.55529
0.4,10,1000,10,97.673,90.335,90.268,0.995,0.88916,0.88966
0.4,10,1000,100,97.673,90.335,90.268,0.98638,0.90597,0.90428
0.4,10,1000,1000,97.673,90.335,90.268,0.94695,0.87277,0.87388
0.4,100,1,1,97.673,90.335,90.268,1,0.91676,0.91512
0.4,100,1,10,97.673,90.335,90.268,1,0.91615,0.91449
0.4,100,1,100,97.673,90.335,90.268,1,0.90038,0.9009
0.4,100,1,1000,97.673,90.335,90.268,1,0.92322,0.92287
0.4,100,10,1,97.673,90.335,90.268,1,0.89155,0.89107
0.4,100,10,10,97.673,90.335,90.268,1,0.88888,0.8888
0.4,100,10,100,97.673,90.335,90.268,1,0.90918,0.90926
0.4,100,10,1000,97.673,90.335,90.268,1,0.89411,0.8943
0.4,100,100,1,97.673,90.335,90.268,0.99999,0.86661,0.86689
0.4,100,100,10,97.673,90.335,90.268,0.99977,0.89884,0.89929
0.4,100,100,100,97.673,90.335,90.268,1,0.74488,0.74415
0.4,100,100,1000,97.673,90.335,90.268,0.99994,0.89613,0.89528
0.4,100,1000,1,97.673,90.335,90.268,0.99733,0.81732,0.81688
0.4,100,1000,10,97.673,90.335,90.268,0.97687,0.8352,0.83411
0.4,100,1000,100,97.673,90.335,90.268,0.96675,0.90971,0.90958
0.4,100,1000,1000,97.673,90.335,90.268,0.86015,0.81169,0.8124
0.4,1000,1,1,97.673,90.335,90.268,1,0.8833,0.88259
0.4,1000,1,10,97.673,90.335,90.268,1,0.92163,0.92092
0.4,1000,1,100,97.673,90.335,90.268,1,0.9195,0.91946
0.4,1000,1,1000,97.673,90.335,90.268,1,0.92145,0.92136
0.4,1000,10,1,97.673,90.335,90.268,1,0.88176,0.88244
0.4,1000,10,10,97.673,90.335,90.268,1,0.85292,0.85169
0.4,1000,10,100,97.673,90.335,90.268,1,0.86976,0.86935
0.4,1000,10,1000,97.673,90.335,90.268,0.95782,0.75238,0.75194
0.4,1000,100,1,97.673,90.335,90.268,0.99998,0.89413,0.89472
0.4,1000,100,10,97.673,90.335,90.268,0.99999,0.92236,0.9208
0.4,1000,100,100,97.673,90.335,90.268,1,0.7361,0.73446
0.4,1000,100,1000,97.673,90.335,90.268,0.90945,0.90094,0.90088
0.4,1000,1000,1,97.673,90.335,90.268,0.58853,0.53168,0.5332
0.4,1000,1000,10,97.673,90.335,90.268,0.92267,0.85928,0.85934
0.4,1000,1000,100,97.673,90.335,90.268,0.89462,0.84032,0.84186
0.4,1000,1000,1000,97.673,90.335,90.268,0.86573,0.86309,0.86371
0.2,1,1,1,97.463,90.454,90.18,1,0.86007,0.85849
0.2,1,1,10,97.463,90.454,90.18,1,0.90894,0.90485
0.2,1,1,100,97.463,90.454,90.18,1,0.90683,0.90764
0.2,1,1,1000,97.463,90.454,90.18,1,0.92442,0.9231
0.2,1,10,1,97.463,90.454,90.18,1,0.88974,0.88917
0.2,1,10,10,97.463,90.454,90.18,1,0.80108,0.8047
0.2,1,10,100,97.463,90.454,90.18,1,0.82964,0.826
0.2,1,10,1000,97.463,90.454,90.18,1,0.83799,0.83867
0.2,1,100,1,97.463,90.454,90.18,1,0.72232,0.7244
0.2,1,100,10,97.463,90.454,90.18,1,0.883,0.88088
0.2,1,100,100,97.463,90.454,90.18,1,0.6992,0.69636
0.2,1,100,1000,97.463,90.454,90.18,1,0.86046,0.85596
0.2,1,1000,1,97.463,90.454,90.18,1,0.5363,0.53106
0.2,1,1000,10,97.463,90.454,90.18,0.99987,0.84967,0.8483
0.2,1,1000,100,97.463,90.454,90.18,0.99005,0.87092,0.86632
0.2,1,1000,1000,97.463,90.454,90.18,0.98308,0.90891,0.90589
0.2,10,1,1,97.463,90.454,90.18,1,0.89268,0.89118
0.2,10,1,10,97.463,90.454,90.18,1,0.90877,0.90721
0.2,10,1,100,97.463,90.454,90.18,1,0.82265,0.82344
0.2,10,1,1000,97.463,90.454,90.18,1,0.92485,0.92338
0.2,10,10,1,97.463,90.454,90.18,1,0.84688,0.84959
0.2,10,10,10,97.463,90.454,90.18,1,0.73586,0.73333
0.2,10,10,100,97.463,90.454,90.18,1,0.82083,0.81877
0.2,10,10,1000,97.463,90.454,90.18,1,0.92131,0.92025
0.2,10,100,1,97.463,90.454,90.18,0.99995,0.83093,0.83338
0.2,10,100,10,97.463,90.454,90.18,1,0.85602,0.85698
0.2,10,100,100,97.463,90.454,90.18,0.99924,0.76016,0.76365
0.2,10,100,1000,97.463,90.454,90.18,0.99993,0.89113,0.89169
0.2,10,1000,1,97.463,90.454,90.18,1,0.53136,0.52827
0.2,10,1000,10,97.463,90.454,90.18,0.99988,0.88726,0.88698
0.2,10,1000,100,97.463,90.454,90.18,0.96993,0.89612,0.89432
0.2,10,1000,1000,97.463,90.454,90.18,0.93878,0.88504,0.88084
0.2,100,1,1,97.463,90.454,90.18,1,0.81527,0.81358
0.2,100,1,10,97.463,90.454,90.18,1,0.79961,0.79952
0.2,100,1,100,97.463,90.454,90.18,1,0.89035,0.89214
0.2,100,1,1000,97.463,90.454,90.18,1,0.92442,0.92311
0.2,100,10,1,97.463,90.454,90.18,1,0.87805,0.87924
0.2,100,10,10,97.463,90.454,90.18,1,0.8696,0.86852
0.2,100,10,100,97.463,90.454,90.18,1,0.82022,0.81946
0.2,100,10,1000,97.463,90.454,90.18,1,0.84218,0.84315
0.2,100,100,1,97.463,90.454,90.18,1,0.83896,0.83965
0.2,100,100,10,97.463,90.454,90.18,0.99964,0.8935,0.8932
0.2,100,100,100,97.463,90.454,90.18,0.99978,0.69046,0.69125
0.2,100,100,1000,97.463,90.454,90.18,0.94966,0.90773,0.90641
0.2,100,1000,1,97.463,90.454,90.18,0.67468,0.53279,0.53598
0.2,100,1000,10,97.463,90.454,90.18,0.96498,0.88816,0.8882
0.2,100,1000,100,97.463,90.454,90.18,0.95087,0.90357,0.90156
0.2,100,1000,1000,97.463,90.454,90.18,0.87511,0.84781,0.84758
