ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.4,10,10,1000,92.674,83.182,82.895,1,0.69711,0.69512
0.4,10,100,1,92.674,83.182,82.895,1,0.7745,0.77357
0.4,10,100,10,92.674,83.182,82.895,0.99982,0.75968,0.76087
0.4,10,100,100,92.674,83.182,82.895,0.9999,0.72639,0.72648
0.4,10,100,1000,92.674,83.182,82.895,0.9998,0.85432,0.85394
0.4,10,1000,1,92.674,83.182,82.895,0.99604,0.61179,0.6138
0.4,10,1000,10,92.674,83.182,82.895,0.96109,0.82536,0.82359
0.4,10,1000,100,92.674,83.182,82.895,0.85017,0.70168,0.70204
0.4,10,1000,1000,92.674,83.182,82.895,0.7869,0.77007,0.76717
0.4,100,1,1,92.674,83.182,82.895,1,0.43329,0.43392
0.4,100,1,10,92.674,83.182,82.895,1,0.77571,0.77406
0.4,100,1,100,92.674,83.182,82.895,1,0.61154,0.61126
0.4,100,1,1000,92.674,83.182,82.895,1,0.60661,0.60621
0.4,100,10,1,92.674,83.182,82.895,1,0.81814,0.81697
0.4,100,10,10,92.674,83.182,82.895,1,0.68379,0.68153
0.4,100,10,100,92.674,83.182,82.895,1,0.40168,0.4008
0.4,100,10,1000,92.674,83.182,82.895,0.62878,0.60764,0.60722
0.4,100,100,1,92.674,83.182,82.895,1,0.75739,0.75872
0.4,100,100,10,92.674,83.182,82.895,0.9994,0.82214,0.82239
0.4,100,100,100,92.674,83.182,82.895,0.99606,0.80011,0.802
0.4,100,100,1000,92.674,83.182,82.895,0.61492,0.612,0.6112
0.4,100,1000,1,92.674,83.182,82.895,0.98274,0.78825,0.7875
0.4,100,1000,10,92.674,83.182,82.895,0.9156,0.85675,0.85471
0.4,100,1000,100,92.674,83.182,82.895,0.72933,0.71589,0.71346
0.4,100,1000,1000,92.674,83.182,82.895,0.60688,0.609,0.60717
0.4,1000,1,1,92.674,83.182,82.895,1,0.74821,0.75164
0.4,1000,1,10,92.674,83.182,82.895,1,0.77796,0.77869
0.4,1000,1,100,92.674,83.182,82.895,1,0.62607,0.62553
0.4,1000,1,1000,92.674,83.182,82.895,1,0.60661,0.60621
0.4,1000,10,1,92.674,83.182,82.895,1,0.81546,0.8178
0.4,1000,10,10,92.674,83.182,82.895,1,0.79318,0.79183
0.4,1000,10,100,92.674,83.182,82.895,0.64921,0.62936,0.62801
0.4,1000,10,1000,92.674,83.182,82.895,0.60625,0.60661,0.60621
0.4,1000,100,1,92.674,83.182,82.895,0.99934,0.82296,0.82188
0.4,1000,100,10,92.674,83.182,82.895,0.99971,0.83954,0.84144
0.4,1000,100,100,92.674,83.182,82.895,0.7552,0.74643,0.74605
0.4,1000,100,1000,92.674,83.182,82.895,0.60711,0.60754,0.60699
0.4,1000,1000,1,92.674,83.182,82.895,0.92905,0.84746,0.84357
0.4,1000,1000,10,92.674,83.182,82.895,0.76326,0.74589,0.744
0.4,1000,1000,100,92.674,83.182,82.895,0.77351,0.76596,0.7645
0.4,1000,1000,1000,92.674,83.182,82.895,0.75586,0.75711,0.75401
0.2,1,1,1,92.33,82.186,81.663,1,0.77821,0.77434
0.2,1,1,10,92.33,82.186,81.663,1,0.73279,0.72434
0.2,1,1,100,92.33,82.186,81.663,1,0.682,0.67627
0.2,1,1,1000,92.33,82.186,81.663,1,0.61679,0.60556
0.2,1,10,1,92.33,82.186,81.663,1,0.75693,0.75417
0.2,1,10,10,92.33,82.186,81.663,1,0.70243,0.70592
0.2,1,10,100,92.33,82.186,81.663,1,0.79321,0.78627
0.2,1,10,1000,92.33,82.186,81.663,1,0.64093,0.6314
0.2,1,100,1,92.33,82.186,81.663,1,0.696,0.68709
0.2,1,100,10,92.33,82.186,81.663,0.99995,0.71093,0.71252
0.2,1,100,100,92.33,82.186,81.663,0.99752,0.72143,0.7083
0.2,1,100,1000,92.33,82.186,81.663,0.99982,0.80843,0.80697
0.2,1,1000,1,92.33,82.186,81.663,0.99925,0.71479,0.70386
0.2,1,1000,10,92.33,82.186,81.663,0.95295,0.75793,0.76355
0.2,1,1000,100,92.33,82.186,81.663,0.90096,0.79636,0.7956
0.2,1,1000,1000,92.33,82.186,81.663,0.88152,0.84136,0.8386
0.2,10,1,1,92.33,82.186,81.663,1,0.58179,0.58697
0.2,10,1,10,92.33,82.186,81.663,1,0.65929,0.64694
0.2,10,1,100,92.33,82.186,81.663,1,0.62286,0.61205
0.2,10,1,1000,92.33,82.186,81.663,1,0.61679,0.60556
0.2,10,10,1,92.33,82.186,81.663,1,0.79229,0.79135
0.2,10,10,10,92.33,82.186,81.663,1,0.81036,0.80388
0.2,10,10,100,92.33,82.186,81.663,1,0.72429,0.7266
0.2,10,10,1000,92.33,82.186,81.663,1,0.7,0.69633
0.2,10,100,1,92.33,82.186,81.663,0.99995,0.738,0.73508
0.2,10,100,10,92.33,82.186,81.663,0.99995,0.70521,0.70621
0.2,10,100,100,92.33,82.186,81.663,0.99938,0.83436,0.83345
0.2,10,100,1000,92.33,82.186,81.663,1,0.85193,0.85009
0.2,10,1000,1,92.33,82.186,81.663,0.98711,0.83957,0.83624
0.2,10,1000,10,92.33,82.186,81.663,0.98873,0.734,0.73191
0.2,10,1000,100,92.33,82.186,81.663,0.8175,0.79814,0.79152
0.2,10,1000,1000,92.33,82.186,81.663,0.80102,0.78936,0.78506
0.2,100,1,1,92.33,82.186,81.663,1,0.75657,0.75335
0.2,100,1,10,92.33,82.186,81.663,1,0.38779,0.3987
0.2,100,1,100,92.33,82.186,81.663,1,0.73707,0.7348
0.2,100,1,1000,92.33,82.186,81.663,1,0.61679,0.60556
0.2,100,10,1,92.33,82.186,81.663,1,0.74757,0.74807
0.2,100,10,10,92.33,82.186,81.663,1,0.57743,0.58428
0.2,100,10,100,92.33,82.186,81.663,1,0.65157,0.64047
0.2,100,10,1000,92.33,82.186,81.663,0.60709,0.61679,0.60556
0.2,100,100,1,92.33,82.186,81.663,0.99987,0.72114,0.71524
0.2,100,100,10,92.33,82.186,81.663,0.99913,0.57607,0.57025
0.2,100,100,100,92.33,82.186,81.663,0.89714,0.76071,0.76001
0.2,100,100,1000,92.33,82.186,81.663,0.61618,0.62429,0.61298
0.2,100,1000,1,92.33,82.186,81.663,0.97136,0.76721,0.76005
0.2,100,1000,10,92.33,82.186,81.663,0.87418,0.82357,0.81894
0.2,100,1000,100,92.33,82.186,81.663,0.71462,0.72364,0.71244
0.2,100,1000,1000,92.33,82.186,81.663,0.61943,0.63007,0.61801
0.2,1000,1,1,92.33,82.186,81.663,1,0.7915,0.78993
0.2,1000,1,10,92.33,82.186,81.663,1,0.714,0.70462
0.2,1000,1,100,92.33,82.186,81.663,0.60713,0.61679,0.60556
0.2,1000,1,1000,92.33,82.186,81.663,1,0.61679,0.60556
0.2,1000,10,1,92.33,82.186,81.663,1,0.74043,0.74446
0.2,1000,10,10,92.33,82.186,81.663,1,0.74914,0.74804
0.2,1000,10,100,92.33,82.186,81.663,0.61418,0.621,0.61026
0.2,1000,10,1000,92.33,82.186,81.663,0.60709,0.61679,0.60556
0.2,1000,100,1,92.33,82.186,81.663,0.99755,0.73329,0.73643
0.2,1000,100,10,92.33,82.186,81.663,0.99657,0.8525,0.84832
0.2,1000,100,100,92.33,82.186,81.663,0.79238,0.75657,0.75426
0.2,1000,100,1000,92.33,82.186,81.663,0.60795,0.61743,0.60636
0.2,1000,1000,1,92.33,82.186,81.663,0.8792,0.81471,0.80968
0.2,1000,1000,10,92.33,82.186,81.663,0.74295,0.71729,0.71293
0.2,1000,1000,100,92.33,82.186,81.663,0.66459,0.67771,0.66794
0.2,1000,1000,1000,92.33,82.186,81.663,0.67745,0.68721,0.67764
0.1,1,1,1,92.071,80.557,80.954,1,0.67486,0.67303
0.1,1,1,10,92.071,80.557,80.954,1,0.45714,0.46545
0.1,1,1,100,92.071,80.557,80.954,1,0.68929,0.68795
0.1,1,1,1000,92.071,80.557,80.954,1,0.61429,0.60581
0.1,1,10,1,92.071,80.557,80.954,1,0.72271,0.71864
0.1,1,10,10,92.071,80.557,80.954,1,0.75286,0.75474
0.1,1,10,100,92.071,80.557,80.954,1,0.783,0.78121
0.1,1,10,1000,92.071,80.557,80.954,1,0.69971,0.6943
0.1,1,100,1,92.071,80.557,80.954,1,0.474,0.47514
0.1,1,100,10,92.071,80.557,80.954,1,0.70957,0.71071
0.1,1,100,100,92.071,80.557,80.954,0.99646,0.74086,0.74122
0.1,1,100,1000,92.071,80.557,80.954,0.99807,0.76029,0.75823
0.1,1,1000,1,92.071,80.557,80.954,0.99589,0.746,0.74637
0.1,1,1000,10,92.071,80.557,80.954,0.98532,0.79014,0.79337
0.1,1,1000,100,92.071,80.557,80.954,0.76168,0.733,0.73352
0.1,1,1000,1000,92.071,80.557,80.954,0.83493,0.81229,0.81485
0.1,10,1,1,92.071,80.557,80.954,1,0.78629,0.78279
0.1,10,1,10,92.071,80.557,80.954,1,0.73286,0.73449
0.1,10,1,100,92.071,80.557,80.954,1,0.61971,0.6115
